Movie,Month,Day,Year,Budget,Domestic_Gross,Worldwide_Gross
The Right Stuff,Oct,21,1983,27,21.5,21.5
The Dead Zone,Oct,21,1983,10,20.766,20.766
The Wicked Lady,Oct,28,1983,8,0.589308,0.589308
Brainstorm,Sep,30,1983,15,8.92105,8.92105
Friday the 13th Part IV: The Final Chapter,Apr,13,1984,2.6,32.98088,32.98088
Love Letters,Apr,27,1984,0.55,5.26999,5.26999
Sheena,Aug,17,1984,25,5.778353,5.778353
C.H.U.D.,Aug,31,1984,1.25,4.7,4.7
Beverly Hills Cop,Dec,5,1984,15,234.760478,316.3
Dune,Dec,14,1984,45,27.447471,27.447471
A Passage to India,Dec,14,1984,27.5,27.187653,27.187653
The Cotton Club,Dec,14,1984,48,25.928721,25.928721
Footloose,Feb,17,1984,8.2,80,80
Die Unendliche Geschichte,Jul,20,1984,27,21.3,21.3
Star Trek III: The Search for Spock,Jun,1,1984,18,76.471046,87
Once Upon a Time in America,Jun,1,1984,30,5.321508,5.575648
Ghostbusters,Jun,8,1984,30,242.212467,295.212467
Gremlins,Jun,8,1984,11,148.168459,148.199515
The Karate Kid,Jun,22,1984,8,90.815558,90.815558
Conan the Destroyer,Jun,29,1984,18,26.4,26.4
Repo Man,Mar,2,1984,1.5,2.3,2.3
Splash,Mar,9,1984,8,62.599495,62.599495
The Hotel New Hampshire,Mar,9,1984,7.5,5.142858,5.142858
The Ice Pirates,Mar,16,1984,9,13.07539,13.07539
Police Academy,Mar,23,1984,4.5,81.198894,81.198894
Firestarter,May,11,1984,15,15.13687,15.13687
Indiana Jones and the Temple of Doom,May,23,1984,28,179.880271,333.080271
A Nightmare on Elm Street,Nov,9,1984,1.8,25.504513,25.504513
The Terminator,Oct,26,1984,6.4,38.019031,78.019031
Body Double,Oct,26,1984,10,8.80194,8.80194
Amadeus,Sep,19,1984,18,51.973029,51.973029
Ladyhawke,Apr,12,1985,20,18.4,18.4
The Return of the Living Dead,Aug,16,1985,4,14.23788,14.23788
Young Sherlock Holmes,Dec,4,1985,18,19.739,19.739
Out of Africa,Dec,18,1985,31,79.096868,258.21086
The Color Purple,Dec,18,1985,15,93.589701,93.589701
Brazil,Dec,18,1985,15,9.929135,9.932146
Witness,Feb,8,1985,12,65.532576,65.532576
Blood Simple,Jan,18,1985,1.5,1.690913,2.730877
Back to the Future,Jul,3,1985,19,212.259762,385.524862
Mad Max Beyond Thunderdome,Jul,10,1985,10,36.230219,36.230219
Silverado,Jul,10,1985,26,33.2,33.2
Lifeforce,Jun,21,1985,25,11.603545,11.603545
Return to Oz,Jun,21,1985,27,10.618813,10.618813
Pale Rider,Jun,28,1985,6.9,41.410568,41.410568
St. Elmo’s Fire,Jun,28,1985,10,37.8,37.8
Red Sonja,Jun,28,1985,17.9,6.905861,6.905861
Day of the Dead,Jun,30,1985,3.5,5.804262,34.004262
Def-Con 4,Mar,15,1985,1.3,0.210904,0.210904
The Last Dragon,Mar,22,1985,10,33,33
Friday the 13th Part V: A New Beginning,Mar,22,1985,2.2,21.930418,21.930418
Rambo: First Blood Part II,May,22,1985,44,150.415432,300.4
A View to a Kill,May,24,1985,30,50.32796,152.62796
A Nightmare on Elm Street Part 2: Freddy's Revenge,Nov,1,1985,3,21.163999,21.163999
Subway,Nov,6,1985,2,0.390659,1.663296
Commando,Oct,4,1985,10,35.073978,35.073978
Silver Bullet,Oct,11,1985,7,10.803211,10.803211
Krush Groove,Oct,25,1985,3,11.052713,11.052713
After Hours,Sep,13,1985,4.5,10.609321,10.609321
Invasion U.S.A.,Sep,27,1985,10,17.536256,17.536256
My Beautiful Laundrette,Apr,1,1986,0.4,0,0
Legend,Apr,18,1986,25,15.502112,23.506237
Salvador,Apr,23,1986,4.5,1.5,1.5
8 Million Ways to Die,Apr,25,1986,18,1.305114,1.305114
Friday the 13th Part VI: Jason Lives,Aug,1,1986,3,19.472057,19.472057
Howard the Duck,Aug,1,1986,30,16.295774,16.295774
Stand by Me,Aug,8,1986,8,52.287414,52.287414
She's Gotta Have It,Aug,8,1986,0.175,7.137502,7.137502
The Texas Chainsaw Massacre 2,Aug,22,1986,4.7,8.025872,8.025872
Shanghai Surprise,Aug,29,1986,17,2.315,2.315
The Golden Child,Dec,12,1986,12,79.817937,79.817937
Platoon,Dec,19,1986,6,137.963328,137.963328
Little Shop of Horrors,Dec,19,1986,30,38.747385,38.747385
Witchboard,Dec,31,1986,2,7.369373,7.369373
Nine 1/2 Weeks,Feb,21,1986,18,6.734844,6.734844
The Clan of the Cave Bear,Jan,17,1986,15,1.953732,1.953732
Big Trouble in Little China,Jul,1,1986,25,11.1,11.1
Pirates,Jul,1,1986,40,1.641825,6.341825
Aliens,Jul,18,1986,17,85.160248,183.316455
Invaders from Mars,Jun,6,1986,12,4.884663,4.984663
Legal Eagles,Jun,18,1986,40,49.851591,49.851591
