Movie,Month,Day,Year,Budget,Domestic_Gross,Worldwide_Gross
My Favorite Martian,Feb,12,1999,60,36.850101,36.850101
Blast from the Past,Feb,12,1999,35,26.61362,26.61362
Tango,Feb,12,1999,4.5,1.687311,5.428387
Office Space,Feb,19,1999,10,10.827813,12.179708
Jawbreaker,Feb,19,1999,3,3.07682,3.07682
8MM,Feb,26,1999,40,36.443442,96.398826
200 Cigarettes,Feb,26,1999,6,6.85245,6.85245
20 Dates,Feb,26,1999,0.066,0.541636,0.60292
The Sticky Fingers of Time,Jan,8,1999,0.25,0.018195,0.020628
Varsity Blues,Jan,15,1999,16,52.894169,54.294169
Virus,Jan,15,1999,75,14.01069,30.62669
At First Sight,Jan,15,1999,40,22.365133,22.365133
In Dreams,Jan,15,1999,30,12.017369,12.017369
Mississippi Mermaid,Jan,15,1999,1.6,0.027795,2.627795
Gloria,Jan,22,1999,30,4.167493,4.967493
Bacheha-Ye aseman,Jan,22,1999,0.18,0.933933,1.628579
She's All That,Jan,29,1999,10,63.465522,63.465522
Summer of Sam,Jul,2,1999,22,19.28813,19.28813
Broken Vessels,Jul,2,1999,0.6,0.01503,0.085343
American Pie,Jul,9,1999,12,101.800948,234.723148
Arlington Road,Jul,9,1999,21.5,24.419219,24.419219
The Blair Witch Project,Jul,14,1999,0.6,140.539099,248.3
Muppets From Space,Jul,14,1999,24,16.304786,16.304786
Eyes Wide Shut,Jul,16,1999,65,55.691208,104.267443
Lake Placid,Jul,16,1999,27,31.770413,31.770413
The Wood,Jul,16,1999,6,25.05964,25.05964
The Velocity of Gary,Jul,16,1999,4,0.034145,0.034145
The Haunting,Jul,23,1999,80,91.188905,180.188905
Inspector Gadget,Jul,23,1999,75,97.387965,97.387965
Drop Dead Gorgeous,Jul,23,1999,10,10.571408,10.571408
Deep Blue Sea,Jul,28,1999,60,73.648228,165.048228
Runaway Bride,Jul,30,1999,70,152.257509,310.138178
Twin Falls Idaho,Jul,30,1999,0.5,0.985341,1.027228
Instinct,Jun,4,1999,55,34.105207,34.105207
Instinct,Jun,4,1999,55,34.105207,34.105207
Limbo,Jun,4,1999,8.3,2.16071,2.598224
Desert Blue,Jun,4,1999,5,0.099147,0.099147
Austin Powers: The Spy Who Shagged Me,Jun,10,1999,35,206.040085,312.383487
Le Violon rouge,Jun,11,1999,10,10.019109,10.019109
Tarzan,Jun,16,1999,145,171.091819,448.191819
The General's Daughter,Jun,18,1999,60,102.705852,149.705852
An Ideal Husband,Jun,18,1999,10.7,18.542974,31.341183
Lola rennt,Jun,18,1999,1.75,7.267324,22.879194
Big Daddy,Jun,25,1999,30,163.479795,228.641283
Wild Wild West,Jun,30,1999,175,113.805681,221.229335
"South Park: Bigger, Longer & Uncut",Jun,30,1999,21,52.037603,52.037603
Analyze This,Mar,5,1999,30,106.885658,176.885658
Cruel Intentions,Mar,5,1999,11,38.230075,75.803716
"Lock, Stock and Two Smoking Barrels",Mar,5,1999,1.35,3.897569,28.356188
Baby Geniuses,Mar,12,1999,13,27.15149,27.15149
The Rage: Carrie 2,Mar,12,1999,21,17.760244,17.760244
The Corruptor,Mar,12,1999,10,15.164492,15.164492
The Deep End of the Ocean,Mar,12,1999,40,13.508635,13.508635
Wing Commander,Mar,12,1999,30,11.578022,11.578022
Ravenous,Mar,19,1999,12,2.062406,2.062406
Sparkler,Mar,19,1999,1,0.005494,0.005494
EDtv,Mar,26,1999,60,22.508689,35.319689
Doug's 1st Movie,Mar,26,1999,5,19.421271,19.421271
A Walk on the Moon,Mar,26,1999,14,4.741987,4.741987
Among Giants,Mar,26,1999,4,0.064359,0.064359
The Matrix,Mar,31,1999,65,171.47993,463.517383
10 Things I Hate About You,Mar,31,1999,13,38.177966,60.414025
The Mummy,May,7,1999,80,155.385488,416.385488
Trippin',May,12,1999,3,9.01707,9.01707
Tea with Mussolini,May,14,1999,14,14.395874,14.395874
Star Wars Ep. I: The Phantom Menace,May,19,1999,115,474.544677,1027.044677
The Love Letter,May,21,1999,15,8.322608,9.044093
Trekkies,May,21,1999,0.375,0.617172,0.617172
Notting Hill,May,28,1999,42,116.089678,363.728226
The Thirteenth Floor,May,28,1999,16,11.810854,11.810854
The Loss of Sexual Innocence,May,28,1999,4,0.399793,0.399793
The Bone Collector,Nov,5,1999,48,66.48809,151.46309
The Insider,Nov,5,1999,68,28.965197,60.265197
The Bachelor,Nov,5,1999,21,21.731001,36.882378
Pokemon: The First Movie,Nov,10,1999,30,85.744662,163.644662
Light It Up,Nov,10,1999,13,5.871603,5.871603
Dogma,Nov,12,1999,10,30.651422,43.948865
Anywhere But Here,Nov,12,1999,23,18.653615,18.653615
The Messenger: The Story of Joan of Arc,Nov,12,1999,50,14.271297,14.271297
Felicia's Journey,Nov,12,1999,15,0.824295,1.970268
Toy Story 2,Nov,19,1999,90,245.852179,511.358276
The World is Not Enough,Nov,19,1999,135,126.93066,361.73066
Sleepy Hollow,Nov,19,1999,70,101.06834,207.06834
End of Days,Nov,24,1999,100,66.889043,212.026975
Flawless,Nov,24,1999,27,4.485485,4.485485
Tumbleweeds,Nov,24,1999,0.312,1.350248,1.788168
Ride With the Devil,Nov,24,1999,35,0.630779,0.630779
Three Kings,Oct,1,1999,48,60.652036,107.752036
Drive Me Crazy,Oct,1,1999,8,17.843379,22.591451
The Adventures of Elmo in Grouchland,Oct,1,1999,17,11.634458,11.634458
"Mystery, Alaska",Oct,1,1999,28,8.891623,8.891623
"Happy, Texas",Oct,1,1999,1.7,2.039192,2.891228
Random Hearts,Oct,8,1999,64,31.054924,63.2
Superstar,Oct,8,1999,14,30.628981,30.628981
Boys Don't Cry,Oct,8,1999,2,11.540607,20.741
The Limey,Oct,8,1999,10,3.193102,6.030047
Naturally Native,Oct,8,1999,0.7,0.010508,0.010508
Fight Club,Oct,15,1999,65,37.030102,100.851705
The Story of Us,Oct,15,1999,50,27.10003,27.10003
The Omega Code,Oct,15,1999,7.2,12.610552,12.678312
The Straight Story,Oct,15,1999,10,6.197866,6.197866
The Best Man,Oct,22,1999,9,34.10278,34.57278
Bringing Out The Dead,Oct,22,1999,32,16.64021,16.64021
Three to Tango,Oct,22,1999,20,10.570375,10.570375
Bats,Oct,22,1999,6.5,10.155691,10.155691
Beyond the Mat,Oct,22,1999,0.5,2.04757,2.04757
Crazy in Alabama,Oct,22,1999,15,1.954202,1.954202
Molly,Oct,22,1999,21,0.017396,0.017396
Mononoke-hime,Oct,29,1999,20,2.374107,150.35
House on Haunted Hill,Oct,29,1999,19,40.846082,65.090541
Being John Malkovich,Oct,29,1999,13,22.858926,32.382381
Dreaming of Joseph Lees,Oct,29,1999,3.25,0.00768,0.00768
Chill Factor,Sep,1,1999,34,11.263966,11.263966
Outside Providence,Sep,1,1999,7,7.309628,7.824358
Stigmata,Sep,10,1999,32,50.041732,89.441732
Stir of Echoes,Sep,10,1999,12,21.133087,21.133087
Love Stinks,Sep,10,1999,4,2.793776,2.793776
American Beauty,Sep,15,1999,15,130.058047,356.258047
Blue Streak,Sep,17,1999,36,68.20819,117.448157
Breakfast of Champions,Sep,17,1999,12,0.178287,0.178287
Sugar Town,Sep,17,1999,0.25,0.178095,0.178095
Taxman,Sep,17,1999,3.5,0.009871,0.009871
Double Jeopardy,Sep,24,1999,40,116.735231,177.835231
Jakob the Liar,Sep,24,1999,15,4.956401,4.956401
Mumford,Sep,24,1999,28.7,4.559569,4.559569
One Man's Hero,Sep,24,1999,18,0.229311,0.229311
Black and White,Apr,5,2000,10,5.241315,5.241315
Rules of Engagement,Apr,7,2000,60,61.322858,71.719931
Return to Me,Apr,7,2000,24,32.662299,32.662299
Ready to Rumble,Apr,7,2000,24,12.37241,12.37241
28 Days,Apr,14,2000,43,37.035515,62.063972
Keeping the Faith,Apr,14,2000,29,37.036404,45.336404
East is East,Apr,14,2000,3,4.170647,30.438635
American Psycho,Apr,14,2000,8,15.070285,28.674417
La otra conquista,Apr,19,2000,3.5,0.88641,0.88641
U-571,Apr,21,2000,62,77.08603,127.63003
Love and Basketball,Apr,21,2000,15,27.441122,27.709625
Gossip,Apr,21,2000,14,5.10882,12.59127
The Virgin Suicides,Apr,21,2000,6,4.859475,10.61977
Frequency,Apr,28,2000,31,44.983704,68.079671
The Flintstones in Viva Rock Vegas,Apr,28,2000,58,35.231365,59.431365
The Flintstones in Viva Rock Vegas,Apr,28,2000,58,35.231365,59.431365
Where the Heart Is,Apr,28,2000,15,33.771174,40.862054
Hollow Man,Aug,4,2000,90,73.20934,191.2
Space Cowboys,Aug,4,2000,65,90.454043,128.874043
Coyote Ugly,Aug,4,2000,45,60.786269,113.916474
Saving Grace,Aug,4,2000,4,12.178602,27.786849
Psycho Beach Party,Aug,4,2000,4,0.267972,0.267972
Autumn in New York,Aug,11,2000,40,37.752931,90.717684
Bless the Child,Aug,11,2000,40,29.374178,40.435694
Cecil B. Demented,Aug,11,2000,10,1.276984,1.953882
Aimée & Jaguar,Aug,11,2000,6.8,0.927107,0.927107
The Cell,Aug,18,2000,35,61.280963,85.911226
The Original Kings of Comedy,Aug,18,2000,3,38.168022,38.236338
Godzilla 2000,Aug,18,2000,1,10.03739,10.03739
Bring it On,Aug,25,2000,10,68.35355,90.45355
The Art of War,Aug,25,2000,40,30.199105,30.199105
The Crew,Aug,25,2000,23,13.019253,13.019253
Smiling Fish and Goat on Fire,Aug,25,2000,0.04,0.277233,0.277233
Panic,Dec,1,2000,1,0.779137,1.425707
"Crouching Tiger, Hidden Dragon",Dec,8,2000,15,128.067808,213.514672
Vertical Limit,Dec,8,2000,75,68.47336,213.5
Snatch,Dec,8,2000,10,30.093107,83.593107
Proof of Life,Dec,8,2000,65,32.598931,62.761005
Dungeons and Dragons,Dec,8,2000,35,15.185241,33.771965
What Women Want,Dec,15,2000,65,182.805123,374.105123
The Emperor's New Groove,Dec,15,2000,100,89.296573,169.296573
Chocolat,Dec,15,2000,25,71.30976,152.500343
"Dude, Where's My Car?",Dec,15,2000,13,46.729374,73.180297
Pollock,Dec,15,2000,6,8.596914,10.557291
Finding Forrester,Dec,19,2000,43,51.768623,80.013623
The Gift,Dec,19,2000,10,12.008642,44.567606
Cast Away,Dec,22,2000,85,233.632142,427.230516
Miss Congeniality,Dec,22,2000,45,106.807667,213.420951
The Family Man,Dec,22,2000,60,75.764085,124.715863
"O Brother, Where Art Thou?",Dec,22,2000,26,45.506619,75.763814
Thirteen Days,Dec,22,2000,80,34.566746,66.554547
Dracula 2000,Dec,22,2000,28,33.000377,33.000377
All the Pretty Horses,Dec,22,2000,45,15.527125,18.120267
The House of Mirth,Dec,22,2000,10,3.041803,5.149131
An Everlasting Piece,Dec,22,2000,4,0.075078,0.075078
Traffic,Dec,27,2000,48,124.107476,208.3
Shadow of the Vampire,Dec,29,2000,8,8.279017,8.279017
The Claim,Dec,29,2000,13,0.622023,1.375635
Scream 3,Feb,4,2000,40,89.138076,161.838076
Gun Shy,Feb,4,2000,10,1.638202,1.638202
The Tigger Movie,Feb,11,2000,20,45.542421,96.147688
Snow Day,Feb,11,2000,13,60.008303,62.452927
Trois,Feb,11,2000,0.2,1.161843,1.161843
The Whole Nine Yards,Feb,18,2000,24,57.262492,85.527867
Pitch Black,Feb,18,2000,23,39.235088,53.182088
Hanging Up,Feb,18,2000,40,36.037909,51.867723
Boiler Room,Feb,18,2000,9,16.963963,28.773637
Wonder Boys,Feb,23,2000,35,19.389454,33.422485
Reindeer Games,Feb,25,2000,36,23.360779,23.360779
Fantasia 2000 (IMAX),Jan,1,2000,80,60.507228,60.507228
Next Friday,Jan,12,2000,9.5,57.176582,59.675307
My Dog Skip,Jan,12,2000,7,34.09964,35.795319
Supernova,Jan,14,2000,60,14.218868,14.816494
The Terrorist,Jan,14,2000,0.025,0.195043,0.195043
Down to You,Jan,21,2000,9,20.03531,20.03531
The Boondock Saints,Jan,21,2000,7,0.030471,0.411874
Eye of the Beholder,Jan,28,2000,15,16.500786,18.260865
Isn't She Great,Jan,28,2000,36,2.954405,2.954405
The Big Tease,Jan,28,2000,4,0.185577,0.185577
Scary Movie,Jul,7,2000,19,157.019771,277.2
The Kid,Jul,7,2000,65,69.688384,69.688384
But I'm a Cheerleader,Jul,7,2000,1.2,2.205627,2.509344
X-Men,Jul,14,2000,75,157.299717,296.872367
Chuck&Buck,Jul,14,2000,0.25,1.055671,1.157672
The In Crowd,Jul,19,2000,15,5.217498,5.217498
What Lies Beneath,Jul,21,2000,90,155.464351,288.693989
Pokemon 2000,Jul,21,2000,30,43.746923,133.946923
Loser,Jul,21,2000,20,15.464026,18.250106
Thomas and the Magic Railroad,Jul,26,2000,19,15.911332,15.911332
Nutty Professor II: The Klumps,Jul,28,2000,84,123.307945,166.307945
Big Momma's House,Jun,2,2000,33,117.559438,173.559438
Gone in 60 Seconds,Jun,9,2000,103.3,101.643008,232.643008
Groove,Jun,9,2000,0.5,1.115313,1.167524
Shaft,Jun,16,2000,53.012938,70.327868,107.190108
Shaft,Jun,16,2000,53.012938,70.327868,107.190108
Titan A.E.,Jun,16,2000,75,22.751979,36.751979
Boys and Girls,Jun,16,2000,16,21.799652,21.799652
Fantasia 2000 (Theatrical Release),Jun,16,2000,80,9.10363,9.10363
Jesus' Son,Jun,16,2000,2.5,1.282084,1.687548
Chicken Run,Jun,21,2000,42,106.793915,227.793915
The Woman Chaser,Jun,23,2000,0.15,0.110719,0.110719
The Patriot,Jun,28,2000,110,113.330342,215.3
The Perfect Storm,Jun,30,2000,120,182.618434,328.711434
The Adventures of Rocky & Bullwinkle,Jun,30,2000,76,26.00061,35.12961
3 Strikes,Mar,1,2000,4,9.821335,9.821335
The Next Best Thing,Mar,3,2000,25,14.983572,24.355762
Drowning Mona,Mar,3,2000,16,15.427192,15.980376
Ghost Dog: The Way of the Samurai,Mar,3,2000,2,3.33023,10.672492
What Planet Are You From?,Mar,3,2000,50,6.291602,6.291602
Mission to Mars,Mar,10,2000,90,60.874615,106
The Ninth Gate,Mar,10,2000,38,18.653746,58.394308
God's Army,Mar,10,2000,0.3,2.637726,2.652515
Deterrence,Mar,10,2000,0.8,0.144583,0.371647
Final Destination,Mar,17,2000,23,53.302314,112.03687
Romeo Must Die,Mar,22,2000,25,55.973336,91.03676
Here on Earth,Mar,24,2000,15,10.494147,10.845127
Whatever it Takes,Mar,24,2000,15,8.735529,8.735529
The Road to El Dorado,Mar,31,2000,95,50.802661,65.7
High Fidelity,Mar,31,2000,20,27.277055,47.881663
The Skulls,Mar,31,2000,15,35.00718,35.00718
Gladiator,May,5,2000,103,187.683805,457.683805
Michael Jordan to the MAX,May,5,2000,7,18.642318,18.642318
I Dreamed of Africa,May,5,2000,34,6.543194,14.291999
Human Traffic,May,5,2000,3.3,0.104257,5.42274
The Basket,May,5,2000,1.3,0.609042,0.609042
Luminarias,May,5,2000,1,0.428535,0.428535
Battlefield Earth: A Saga of the Year 3000,May,12,2000,80,21.471685,29.725663
Center Stage,May,12,2000,18,17.200925,21.361109
Screwed,May,12,2000,12,6.98268,6.98268
Held Up,May,12,2000,8,4.71409,4.71409
Hamlet,May,12,2000,2,1.577287,2.419669
Dinosaur,May,19,2000,127.5,137.748063,356.148063
Road Trip,May,19,2000,16,68.525609,119.73911
Small Time Crooks,May,19,2000,18,17.266359,29.934477
Mission: Impossible 2,May,24,2000,120,215.409889,549.588516
Shanghai Noon,May,26,2000,55,56.932305,71.189835
Shanghai Noon,May,26,2000,55,56.932305,71.189835
Hum to Mohabbt Karega,May,26,2000,2,0.121807,0.121807
Charlie's Angels,Nov,3,2000,90,125.305545,259.73609
The Legend of Bagger Vance,Nov,3,2000,60,30.695227,39.235486
Men of Honor,Nov,10,2000,32,48.814909,82.339483
Little Nicky,Nov,10,2000,80,39.442871,58.270391
Red Planet,Nov,10,2000,80,17.48089,33.463969
You Can Count on Me,Nov,10,2000,1.2,9.180275,10.827356
How the Grinch Stole Christmas,Nov,17,2000,123,260.044825,345.141403
Rugrats in Paris,Nov,17,2000,30,76.501438,103.284813
The 6th Day,Nov,17,2000,82,34.543701,96.024898
Bounce,Nov,17,2000,35,36.805288,53.425292
Unbreakable,Nov,22,2000,73.243106,94.999143,248.099143
102 Dalmatians,Nov,22,2000,85,66.941559,66.941559
Quills,Nov,22,2000,13.5,7.060876,11.732088
Meet the Parents,Oct,6,2000,55,166.22504,330.42504
Meet the Parents,Oct,6,2000,55,166.22504,330.42504
Get Carter,Oct,6,2000,40,14.967182,19.417182
Digimon: The Movie,Oct,6,2000,5,9.628751,16.628751
Requiem for a Dream,Oct,6,2000,4.5,3.635482,7.389233
Bamboozled,Oct,6,2000,10,2.185266,2.373937
Billy Elliot,Oct,13,2000,5,21.995263,109.267134
Lost Souls,Oct,13,2000,28,16.779636,31.320293
The Contender,Oct,13,2000,9,17.804273,17.804273
The Ladies Man,Oct,13,2000,11,13.592872,13.719474
Just Looking,Oct,13,2000,3,0.039852,0.039852
Bedazzled,Oct,20,2000,48,37.879996,90.376224
Pay it Forward,Oct,20,2000,40,33.508922,55.696705
The Legend of Drunken Master,Oct,20,2000,10,11.546543,11.546543
The Yards,Oct,20,2000,20,0.88271,2.28271
Book of Shadows: Blair Witch 2,Oct,27,2000,15,26.421314,47.721314
The Little Vampire,Oct,27,2000,22,13.555988,13.555988
Lucky Numbers,Oct,27,2000,65,10.014234,10.014234
George Washington,Oct,27,2000,0.042,0.241816,0.342722
A Room for Romeo Brass,Oct,27,2000,5.25,0.020097,0.020097
Mercy Streets,Oct,31,2000,0.6,0.173599,0.173599
Highlander: Endgame,Sep,1,2000,15,12.80119,12.80119
Whipped,Sep,1,2000,3,4.142507,4.142507
The Watcher,Sep,8,2000,33,28.946615,47.267829
Nurse Betty,Sep,8,2000,24,25.170054,27.732366
The Way of the Gun,Sep,8,2000,9,6.047856,13.061935
Fiza,Sep,8,2000,1,0.623791,1.179462
Anatomie,Sep,8,2000,2.5,0.009598,0.009598
Almost Famous,Sep,15,2000,60,32.522352,47.371191
Bait,Sep,15,2000,35,15.325127,15.471969
Duets,Sep,15,2000,16,4.734235,6.615452
Urbania,Sep,15,2000,0.225,1.032075,1.032075
Dancer in the Dark,Sep,22,2000,12.5,4.157491,45.557491
Urban Legends: Final Cut,Sep,22,2000,15,21.468807,38.574362
Woman on Top,Sep,22,2000,8,5.01845,10.192613
The Specials,Sep,22,2000,1,0.012996,0.012996
Best in Show,Sep,27,2000,6,18.621249,20.695413
Remember the Titans,Sep,29,2000,30,115.654751,136.706683
Beautiful,Sep,29,2000,9,3.134509,3.134509
The Broken Hearts Club: A Romantic Comedy,Sep,29,2000,1,1.744858,2.022442
Along Came a Spider,Apr,6,2001,28,74.058698,105.159085
Blow,Apr,6,2001,30,52.990775,83.282296
Pokemon 3: The Movie,Apr,6,2001,3,17.052128,68.452128
Just Visiting,Apr,6,2001,40,4.777007,16.1722
Brigham City,Apr,6,2001,1,0.852206,0.852206
Joe Dirt,Apr,11,2001,16,27.087695,30.987695
Kingdom Come,Apr,11,2001,7,23.247539,23.393939
Josie and the Pussycats,Apr,11,2001,22,14.25283,14.25283
Bridget Jones's Diary,Apr,13,2001,25,71.500556,281.527158
Crocodile Dundee in Los Angeles,Apr,20,2001,25,25.590119,39.393111
Freddy Got Fingered,Apr,20,2001,15,14.249005,14.249005
Driven,Apr,27,2001,72,32.616869,54.616869
Town & Country,Apr,27,2001,105,6.712451,10.364769
The Forsaken,Apr,27,2001,5,6.755271,6.755271
Akira,Apr,27,2001,8,0.019585,0.019585
Rush Hour 2,Aug,3,2001,90,226.164286,347.425832
The Princess Diaries,Aug,3,2001,30,108.244774,165.334774
Original Sin,Aug,3,2001,26,16.52141,16.52141
The Deep End,Aug,8,2001,3,8.823109,9.981635
American Pie 2,Aug,10,2001,30,145.09682,286.5
The Others,Aug,10,2001,17,96.522687,207.765056
Osmosis Jones,Aug,10,2001,70,13.596911,13.596911
Session 9,Aug,10,2001,1.5,0.378176,1.619602
K-PAX,Aug,13,2001,48,50.31514,50.31514
Rat Race,Aug,17,2001,48,56.607223,86.607223
Captain Corelli's Mandolin,Aug,17,2001,57,25.528495,62.097495
Captain Corelli's Mandolin,Aug,17,2001,57,25.528495,62.097495
American Outlaws,Aug,17,2001,35,13.264986,13.601109
Aberdeen,Aug,17,2001,6.5,0.064148,0.064148
Lisa Picard is Famous,Aug,22,2001,1,0.113433,0.113433
Jay and Silent Bob Strike Back,Aug,24,2001,22,30.059386,33.7624
Summer Catch,Aug,24,2001,17,19.693891,19.693891
The Curse of the Jade Scorpion,Aug,24,2001,26,7.496522,18.496522
John Carpenter's Ghosts of Mars,Aug,24,2001,28,8.434601,8.434601
Bubble Boy,Aug,24,2001,13,5.00231,5.00231
Jeepers Creepers,Aug,31,2001,10,37.904175,58.939035
O (Othello),Aug,31,2001,5,16.017403,16.017403
Speedway Junky,Aug,31,2001,1,0.017127,0.017127
Ocean's Eleven,Dec,7,2001,85,183.41715,450.728529
No Man's Land,Dec,7,2001,1,1.067481,2.684207
The Business of Strangers,Dec,7,2001,6,1.03092,1.29092
Vanilla Sky,Dec,14,2001,70,100.614858,202.726605
The Royal Tenenbaums,Dec,14,2001,28,52.353636,71.430876
Not Another Teen Movie,Dec,14,2001,15,37.882551,62.401343
Iris,Dec,14,2001,5.5,5.580479,15.155021
The Other Side of Heaven,Dec,14,2001,7,4.720371,4.720371
The Lord of the Rings: The Fellowship of the Ring,Dec,19,2001,109,315.54475,887.210985
A Beautiful Mind,Dec,21,2001,78,170.708996,317.668058
Jimmy Neutron: Boy Genius,Dec,21,2001,25,80.936232,102.992536
The Majestic,Dec,21,2001,72,27.796042,37.306334
How High,Dec,21,2001,12,31.155435,31.222395
Joe Somebody,Dec,21,2001,38,22.770864,24.51599
Ali,Dec,25,2001,109,58.183966,87.683966
Kate and Leopold,Dec,25,2001,48,47.095453,70.937778
The Shipping News,Dec,25,2001,35,11.405825,24.405825
Monster's Ball,Dec,26,2001,4,31.273922,43.766463
Gosford Park,Dec,26,2001,18,41.300105,41.300105
Black Hawk Down,Dec,28,2001,95,108.638745,159.691085
I Am Sam,Dec,28,2001,22,40.270895,92.542418
The Hole,Dec,31,2001,7.5,0,10.834406
Valentine,Feb,2,2001,10,20.384136,20.384136
Head Over Heels,Feb,2,2001,14,10.397365,10.397365
Left Behind,Feb,2,2001,18.5,4.221341,4.221341
Hannibal,Feb,9,2001,87,165.092266,350.10028
Saving Silverman,Feb,9,2001,22,19.351569,25.873142
Down to Earth,Feb,16,2001,30,64.172251,71.172251
Sweet November,Feb,16,2001,40,25.288103,65.754228
Recess: School's Out,Feb,16,2001,10,36.696761,44.45147
3000 Miles to Graceland,Feb,23,2001,62,15.738632,18.708848
Monkeybone,Feb,23,2001,75,5.409517,5.409517
Save the Last Dance,Jan,12,2001,13,91.038276,122.244329
Double Take,Jan,12,2001,24,29.823162,29.823162
Antitrust,Jan,12,2001,30,10.965209,17.865209
The Pledge,Jan,19,2001,45,19.71993,29.406132
The Wedding Planner,Jan,26,2001,28,60.400856,94.728529
Cats & Dogs,Jul,4,2001,60,93.375151,200.7
Scary Movie 2,Jul,4,2001,45,71.27742,141.189101
Kiss of the Dragon,Jul,6,2001,25,36.833473,36.833473
Cure,Jul,6,2001,0.01,0.094596,0.094596
Final Fantasy: The Spirits Within,Jul,11,2001,137,32.13183,85.13183
Legally Blonde,Jul,13,2001,18,96.493426,141.809235
The Score,Jul,13,2001,68,71.069884,113.542091
Made,Jul,13,2001,5,5.308707,5.47606
Bully,Jul,13,2001,2.1,0.881824,1.381824
Jurassic Park III,Jul,18,2001,93,181.166115,365.9
America's Sweethearts,Jul,20,2001,46,93.607673,160.648493
Ghost World,Jul,20,2001,5.5,6.217849,8.761608
Hedwig and the Angry Inch,Jul,20,2001,6,3.067312,3.74003
Brother,Jul,20,2001,12,0.450594,0.450594
Planet of the Apes,Jul,27,2001,100,180.01174,362.21174
Jackpot,Jul,27,2001,0.4,0.044452,0.044452
The Animal,Jun,1,2001,22,55.762229,55.762229
What's the Worst That Could Happen?,Jun,1,2001,30,32.267774,38.462071
Atlantis: The Lost Empire,Jun,8,2001,90,84.052762,186.04902
Swordfish,Jun,8,2001,80,69.772969,147.080413
Evolution,Jun,8,2001,80,38.311134,98.341932
Sexy Beast,Jun,13,2001,4.3,6.946056,10.158355
Lara Croft: Tomb Raider,Jun,15,2001,94,131.144183,273.330185
Songcatcher,Jun,15,2001,1.8,3.050934,3.050934
The Fast and the Furious,Jun,22,2001,38,144.51231,206.51231
Dr. Dolittle 2,Jun,22,2001,72,112.950721,176.101721
Baby Boy,Jun,27,2001,16,28.734552,28.734552
Artificial Intelligence: AI,Jun,29,2001,90,78.616689,235.9
crazy/beautiful,Jun,29,2001,13,16.929123,19.929123
Pootie Tang,Jun,29,2001,3.5,3.293258,3.293258
The Mexican,Mar,2,2001,40,66.808615,145.23825
See Spot Run,Mar,2,2001,16,33.357476,43.057552
The Widow of St. Pierre,Mar,2,2001,13,3.05838,3.05838
The Caveman's Valentine,Mar,2,2001,13.5,0.687081,0.892506
15 Minutes,Mar,9,2001,42,24.375436,56.331864
Get Over It,Mar,9,2001,10,11.560259,19.860259
Dayereh,Mar,9,2001,0.01,0.67378,0.67378
Company Man,Mar,9,2001,12,0.146028,0.622273
Enemy at the Gates,Mar,16,2001,85,51.396781,96.971293
Exit Wounds,Mar,16,2001,33,51.758599,79.958599
Memento,Mar,16,2001,5,25.544867,39.723096
Gabriela,Mar,16,2001,0.05,2.335352,2.335352
American Desi,Mar,16,2001,0.25,0.902835,1.366235
Heartbreakers,Mar,23,2001,38,40.334024,57.753825
The Brothers,Mar,23,2001,6,27.457409,27.958191
Say It Isn't So,Mar,23,2001,25,5.516708,5.516708
Spy Kids,Mar,30,2001,35,112.692062,197.692062
Someone Like You,Mar,30,2001,23,27.338033,38.684906
Tailor of Panama,Mar,30,2001,18,13.491653,27.491653
Amores Perros,Mar,30,2001,2,5.383834,20.883834
Tomcats,Mar,30,2001,11,13.558739,13.558739
The Mummy Returns,May,4,2001,98,202.00764,435.040395
Eureka,May,4,2001,2,0.049388,0.076654
A Knight’s Tale,May,11,2001,41,56.083966,100.622586
Angel Eyes,May,18,2001,38,24.044532,29.544532
Pearl Harbor,May,25,2001,151.5,198.539855,449.239855
"Monsters, Inc.",Nov,2,2001,115,289.423425,559.757719
Le Fabuleux destin d'Amélie Poulain,Nov,2,2001,10.35,33.201661,174.201661
The One,Nov,2,2001,49,43.905746,72.689126
Everything Put Together,Nov,2,2001,0.5,0,0.00789
Shallow Hal,Nov,9,2001,40,70.836296,70.836296
Heist,Nov,9,2001,35,23.483357,28.906817
Keeping it Real: The Adventures of Greg Walloch,Nov,9,2001,0.1,0.001358,0.001358
The Wash,Nov,14,2001,4,10.097096,10.097096
Harry Potter and the Sorcerer’s Stone,Nov,16,2001,125,317.57555,974.755371
Novocaine,Nov,16,2001,6,2.025238,2.522928
Spy Game,Nov,21,2001,90,62.36256,143.04956
Black Knight,Nov,21,2001,35,33.422806,33.422806
Out Cold,Nov,21,2001,11,13.906394,14.786394
The Sidewalks of New York,Nov,21,2001,1,2.402459,3.575308
In the Bedroom,Nov,23,2001,1.7,35.930604,42.137871
Behind Enemy Lines,Nov,30,2001,40,58.855732,58.855732
Texas Rangers,Nov,30,2001,38,0.623374,0.623374
Training Day,Oct,5,2001,45,76.261036,104.505362
Serendipity,Oct,5,2001,28,50.25531,77.477297
Joy Ride,Oct,5,2001,23,21.973182,21.973182
Max Keeble's Big Move,Oct,5,2001,12,17.292381,17.292381
Mulholland Drive,Oct,8,2001,15,7.219578,11.919578
Bandits,Oct,12,2001,75,41.523271,71.523271
Corky Romano,Oct,12,2001,11,23.978402,25.116103
From Hell,Oct,19,2001,35,31.598308,68.712365
