"Movie","Month","Day","Year","Budget","Domestic_Gross","Worldwide_Gross","profitable","season"
"Aliens in the Attic","Jul",31,2009,45,25.200412,59.551283,TRUE,"summer"
"Fight Club","Oct",15,1999,65,37.030102,100.851705,TRUE,"rest"
"Punch-Drunk Love","Oct",11,2002,25,17.791031,24.591031,FALSE,"rest"
"Nicholas Nickleby","Dec",27,2002,10,1.5628,1.5628,FALSE,"rest"
"Silence","Dec",23,2016,46.5,7.100177,16.152151,FALSE,"rest"
"Iron Man","May",2,2008,186,318.604126,585.171547,TRUE,"rest"
"Les Bronzés 3: amis pour la vie","Dec",31,2006,42,0,83.833602,TRUE,"rest"
"Dirty Pretty Things","Jul",18,2003,10,8.112414,14.156753,TRUE,"summer"
"I Married a Strange Person","Aug",28,1998,0.25,0.203134,0.203134,FALSE,"summer"
"Sex and the City 2","May",27,2010,95,95.347692,294.680778,TRUE,"rest"
"Million Dollar Baby","Dec",15,2004,30,100.492203,231.928227,TRUE,"rest"
"Shaft","Jun",16,2000,53.012938,70.327868,107.190108,TRUE,"summer"
"The Hunting Party","Sep",7,2007,40,0.876671,7.729552,FALSE,"rest"
"Everest","Sep",18,2015,65,43.48227,221.835496,TRUE,"rest"
"Dumb and Dumber To","Nov",14,2014,40,86.20801,156.553592,TRUE,"rest"
"Rock Star","Sep",7,2001,38,16.991902,19.317765,FALSE,"rest"
"Disaster Movie","Aug",29,2008,20,14.190901,36.720752,TRUE,"summer"
"Cast Away","Dec",22,2000,85,233.632142,427.230516,TRUE,"rest"
"Oculus","Apr",11,2014,5,27.695246,44.115496,TRUE,"rest"
"Holy Man","Oct",9,1998,60,12.069719,12.069719,FALSE,"rest"
"Possession","Aug",16,2002,25,10.103647,14.805812,FALSE,"summer"
"Faster","Nov",24,2010,24,23.24002,35.792945,TRUE,"rest"
"Basic Instinct 2","Mar",31,2006,70,5.946136,35.417162,FALSE,"rest"
"Skyline","Nov",12,2010,10,21.416355,68.264973,TRUE,"rest"
"Les invasions barbares","May",9,2003,5,8.46,25.913869,TRUE,"rest"
"John Q","Feb",15,2002,36,71.026631,102.226631,TRUE,"rest"
"Serenity","Sep",30,2005,39,25.514517,40.31944,TRUE,"rest"
"Lion of the Desert","Jan",1,1980,35,1.5,1.5,FALSE,"rest"
"The Family Man","Dec",22,2000,60,75.764085,124.715863,TRUE,"rest"
"Tin Cup","Aug",16,1996,45,53.854588,75.854588,TRUE,"summer"
"The Dead Zone","Oct",21,1983,10,20.766,20.766,TRUE,"rest"
"The Object of my Affection","Apr",17,1998,15,29.145924,29.145924,TRUE,"rest"
"Keanu","Apr",29,2016,15,20.591853,20.688141,TRUE,"rest"
"Crocodile Dundee","Sep",26,1986,8.8,174.803506,328.203506,TRUE,"rest"
"Summer Catch","Aug",24,2001,17,19.693891,19.693891,TRUE,"summer"
"Blade 2","Mar",22,2002,54,81.676888,154.338601,TRUE,"rest"
"Mirror Mirror","Mar",30,2012,85,64.935167,173.613482,TRUE,"rest"
"Live Free or Die Hard","Jun",27,2007,110,134.529403,382.288147,TRUE,"summer"
"The Lucky One","Apr",20,2012,25,60.457138,96.633833,TRUE,"rest"
"Harry Potter and the Half-Blood Prince","Jul",15,2009,250,301.959197,935.083686,TRUE,"summer"
"All Saints","Aug",25,2017,2,5.802208,5.941994,TRUE,"summer"
"The Rite","Jan",28,2011,37,33.047633,97.143987,TRUE,"rest"
"Che, Part 1: The Argentine","Jan",9,2009,29,1.733532,1.733532,FALSE,"rest"
"Shrek 2","May",19,2004,70,441.226247,937.008132,TRUE,"rest"
"American Desi","Mar",16,2001,0.25,0.902835,1.366235,TRUE,"rest"
"Justice League","Nov",17,2017,300,228.977297,655.906448,TRUE,"rest"
"The R.M.","Jan",31,2003,0.5,1.111615,1.111615,TRUE,"rest"
"Epic Movie","Jan",26,2007,20,39.739367,86.858578,TRUE,"rest"
"Think Like a Man Too","Jun",20,2014,24,65.028687,70.027933,TRUE,"summer"
"Tootsie","Dec",17,1982,15,177.2,177.2,TRUE,"rest"
"All Hat","Jan",18,2008,4.9,0.015198,0.015198,FALSE,"rest"
"White Chicks","Jun",23,2004,20,69.148997,111.448997,TRUE,"summer"
"Zambezia","Dec",31,2012,20,0,34.454631,TRUE,"rest"
"Cry Wolf","Sep",16,2005,1,10.047674,15.943081,TRUE,"rest"
"Deadpool","Feb",12,2016,58,363.070709,801.029249,TRUE,"rest"
"Imaginary Heroes","Dec",17,2004,10,0.228524,0.290875,FALSE,"rest"
"Ayurveda: Art of Being","Jul",19,2002,0.3,0.016892,2.066892,TRUE,"summer"
"Miss Julie","May",5,2015,5.5,0,0.863895,FALSE,"rest"
"Another Happy Day","Nov",18,2011,4,0.00912,0.978527,FALSE,"rest"
"Stoker","Mar",1,2013,12,1.703125,12.034913,TRUE,"rest"
"A Nightmare on Elm Street Part 2: Freddy's Revenge","Nov",1,1985,3,21.163999,21.163999,TRUE,"rest"
"Driven","Apr",27,2001,72,32.616869,54.616869,FALSE,"rest"
"Kites","May",21,2010,9.2,1.685269,17.155193,TRUE,"rest"
"Hot Fuzz","Apr",20,2007,16,23.618786,81.742618,TRUE,"rest"
"5 Days of War","Aug",19,2011,12,0.017479,0.087793,FALSE,"summer"
"Ghost Rider","Feb",16,2007,120,115.802596,229.545589,TRUE,"rest"
"Wonder","Nov",17,2017,20,132.166669,295.459836,TRUE,"rest"
"Pineapple Express","Aug",6,2008,26,87.34138,102.404019,TRUE,"summer"
"Perrier’s Bounty","May",21,2010,6.6,0.000828,0.000828,FALSE,"rest"
"Alatriste","Dec",31,2007,28,0,22.860477,FALSE,"rest"
"The Fifth Estate","Oct",18,2013,26,3.254172,6.154172,FALSE,"rest"
"The Magnificent Seven","Sep",23,2016,90,93.432655,162.526238,TRUE,"rest"
"The Expendables","Aug",13,2010,82,103.068524,268.268174,TRUE,"summer"
"Exit Wounds","Mar",16,2001,33,51.758599,79.958599,TRUE,"rest"
"Alien: Covenant","May",19,2017,97,74.262031,238.862031,TRUE,"rest"
"The Dictator","May",16,2012,65,59.650222,180.148897,TRUE,"rest"
"The Hunchback of Notre Dame","Jun",21,1996,100,100.138851,325.5,TRUE,"summer"
"Get Out","Feb",24,2017,5,176.040665,255.090124,TRUE,"rest"
"Narc","Dec",20,2002,7.5,10.465659,11.84326,TRUE,"rest"
"Vicky Cristina Barcelona","Aug",15,2008,16,23.216709,104.504817,TRUE,"summer"
"Return to the Land of Wonders","Jul",13,2005,0.005,0.001338,0.001338,FALSE,"summer"
